,GEOID,pop
0,36005000100,7703
1,36005000200,5403
2,36005000400,5915
3,36005001600,5879
4,36005001900,2591
5,36005002000,8516
6,36005002300,4774
7,36005002400,150
8,36005002500,5355
9,36005002701,3016
10,36005002702,4778
11,36005002800,5299
12,36005003100,1466
13,36005003300,3912
14,36005003500,3948
15,36005003700,246
16,36005003800,1193
17,36005003900,6614
18,36005004001,1419
19,36005004100,6476
20,36005004200,7120
21,36005004300,6057
22,36005004400,4754
23,36005004600,1869
24,36005004800,3999
25,36005005001,4885
26,36005005002,5650
27,36005005100,5653
28,36005005200,2277
29,36005005300,3727
30,36005005400,6219
31,36005005600,2468
32,36005005902,3131
33,36005006000,1256
34,36005006100,3706
35,36005006200,7610
36,36005006300,4431
37,36005006400,3590
38,36005006500,5487
39,36005006700,7421
40,36005006800,3288
41,36005006900,8554
42,36005007000,4568
43,36005007100,2547
44,36005007200,5822
45,36005007300,3761
46,36005007400,3635
47,36005007500,5599
48,36005007600,5587
49,36005007700,1933
50,36005007800,6518
51,36005007900,6420
52,36005008300,6882
53,36005008400,2289
54,36005008500,5959
55,36005008600,3874
56,36005008700,6002
57,36005008900,3438
58,36005009000,3476
59,36005009200,5622
60,36005009300,6517
61,36005009600,2562
62,36005009800,5041
63,36005011000,153
64,36005011502,4566
65,36005011700,1603
66,36005011800,5364
67,36005011900,5603
68,36005012101,3057
69,36005012102,1835
70,36005012300,4379
71,36005012500,4272
72,36005012701,1992
73,36005012901,4017
74,36005013000,1364
75,36005013100,4685
76,36005013200,7426
77,36005013300,7284
78,36005013500,3908
79,36005013800,2989
80,36005014100,5355
81,36005014300,968
82,36005014400,6049
83,36005014500,7360
84,36005014701,7023
85,36005014702,5243
86,36005014900,4348
87,36005015100,5458
88,36005015200,2803
89,36005015300,4466
90,36005015500,3178
91,36005015700,4054
92,36005015800,1202
93,36005015900,1420
94,36005016000,4274
95,36005016100,4140
96,36005016200,1969
97,36005016300,0
98,36005016400,885
99,36005016500,1189
100,36005016600,2252
101,36005016700,2733
102,36005016900,1338
103,36005017100,0
104,36005017300,6301
105,36005017500,7004
106,36005017701,4946
107,36005017702,5388
108,36005017901,4661
109,36005017902,3600
110,36005018101,2921
111,36005018102,5626
112,36005018301,4202
113,36005018302,4078
114,36005018400,3676
115,36005018500,6885
116,36005018900,8304
117,36005019300,5737
118,36005019400,2231
119,36005019500,7622
120,36005019700,7104
121,36005019900,8015
122,36005020000,4722
123,36005020100,4340
124,36005020200,2232
125,36005020400,3131
126,36005020501,7030
127,36005020502,2123
128,36005020601,2724
129,36005020900,4351
130,36005021001,9254
131,36005021002,6416
132,36005021100,5506
133,36005021200,5257
134,36005021301,1194
135,36005021302,6061
136,36005021501,4726
137,36005021502,6013
138,36005021601,4137
139,36005021602,6243
140,36005021700,5000
141,36005021800,6882
142,36005021900,1277
143,36005022000,2176
144,36005022101,3884
145,36005022102,5010
146,36005022200,3414
147,36005022300,5108
148,36005022401,2652
149,36005022403,3502
150,36005022404,4187
151,36005022500,8066
152,36005022701,5917
153,36005022702,1485
154,36005022703,1871
155,36005022800,6231
156,36005022901,5568
157,36005022902,3386
158,36005023000,3334
159,36005023100,1594
160,36005023200,2704
161,36005023301,4356
162,36005023302,3614
163,36005023501,3044
164,36005023502,4706
165,36005023600,2275
166,36005023702,1216
167,36005023703,5014
168,36005023704,3717
169,36005023800,2567
170,36005023900,8282
171,36005024000,3963
172,36005024100,6324
173,36005024300,5748
174,36005024400,2551
175,36005024501,5162
176,36005024502,3619
177,36005024600,2223
178,36005024700,1964
179,36005024800,3069
180,36005024900,0
181,36005025000,2663
182,36005025100,6564
183,36005025200,2692
184,36005025300,5952
185,36005025400,2200
186,36005025500,5874
187,36005025600,1831
188,36005025700,1728
189,36005026100,1958
190,36005026300,6456
191,36005026400,5842
192,36005026500,7009
193,36005026601,3035
194,36005026602,5769
195,36005026701,3659
196,36005026702,6824
197,36005026900,3862
198,36005027300,8113
199,36005027401,4576
200,36005027402,3878
201,36005027600,63
202,36005027700,5892
203,36005027900,6809
204,36005028100,3974
205,36005028300,3370
206,36005028400,740
207,36005028500,3233
208,36005028600,1288
209,36005028700,3281
210,36005028800,3527
211,36005028900,4326
212,36005029301,1989
213,36005029302,5597
214,36005029500,4725
215,36005029600,1660
216,36005029700,3749
217,36005030000,5801
218,36005030100,1308
219,36005030200,9607
220,36005030701,5248
221,36005030900,3896
222,36005031000,4869
223,36005031200,2015
224,36005031400,2300
225,36005031600,1956
226,36005031800,2252
227,36005031900,645
228,36005032300,4595
229,36005032400,2954
230,36005032600,3576
231,36005032800,4260
232,36005033000,5697
233,36005033201,4125
234,36005033202,4207
235,36005033400,1441
236,36005033500,2207
237,36005033600,6613
238,36005033700,2277
239,36005033800,4247
240,36005034000,4582
241,36005034200,2128
242,36005034300,1755
243,36005034400,2324
244,36005034500,3461
245,36005034800,7306
246,36005035000,1781
247,36005035100,3296
248,36005035600,2367
249,36005035800,7558
250,36005035900,1960
251,36005036000,3063
252,36005036100,6099
253,36005036300,7977
254,36005036400,2389
255,36005036501,3904
256,36005036502,2002
257,36005036700,2709
258,36005036800,2186
259,36005036901,2276
260,36005036902,2236
261,36005037000,2463
262,36005037100,3908
263,36005037200,2052
264,36005037300,5463
265,36005037400,3713
266,36005037504,3690
267,36005037600,2440
268,36005037800,3233
269,36005037900,5287
270,36005038000,4755
271,36005038100,6534
272,36005038200,2666
273,36005038301,4356
274,36005038302,5941
275,36005038500,5025
276,36005038600,7477
277,36005038700,3297
278,36005038800,2471
279,36005038900,5908
280,36005039000,3191
281,36005039100,6808
282,36005039200,1750
283,36005039300,8433
284,36005039400,4961
285,36005039500,3980
286,36005039600,4287
287,36005039700,4106
288,36005039800,2769
289,36005039901,5168
290,36005039902,5156
291,36005040100,5088
292,36005040302,4151
293,36005040303,4726
294,36005040304,4229
295,36005040400,2818
296,36005040501,4416
297,36005040502,5937
298,36005040600,3635
299,36005040701,3193
300,36005040702,7800
301,36005040800,4557
302,36005040900,3048
303,36005041100,2907
304,36005041300,7561
305,36005041400,4714
306,36005041500,5874
307,36005041800,4276
308,36005041900,6951
309,36005042000,3516
310,36005042100,5654
311,36005042200,3563
312,36005042300,4485
313,36005042400,2686
314,36005042500,6134
315,36005042600,6694
316,36005042800,2025
317,36005042901,4055
318,36005042902,4621
319,36005043000,3321
320,36005043100,10325
321,36005043400,3837
322,36005043500,52
323,36005043600,2244
324,36005044200,4071
325,36005044400,3576
326,36005044800,2181
327,36005044901,1465
328,36005044902,2031
329,36005045101,1531
330,36005045102,1893
331,36005045600,3275
332,36005045800,5243
333,36005046000,2849
334,36005046201,28926
335,36005046202,9409
336,36005048400,4377
337,36005050400,63
338,36005051600,4439
339,36047000100,4304
340,36047000200,1868
341,36047000301,3985
342,36047000501,4759
343,36047000502,2600
344,36047000700,4029
345,36047000900,4162
346,36047001100,967
347,36047001300,2562
348,36047001500,5962
349,36047001800,2075
350,36047002000,1368
351,36047002100,4295
352,36047002200,4902
353,36047002300,4342
354,36047002901,3532
355,36047003000,1841
356,36047003100,2837
357,36047003300,3157
358,36047003400,3038
359,36047003500,1550
360,36047003600,4457
361,36047003700,1087
362,36047003800,1555
363,36047003900,2455
364,36047004100,3540
365,36047004300,3191
366,36047004400,2420
367,36047004500,3318
368,36047004600,1420
369,36047004700,1889
370,36047004900,2520
371,36047005000,2510
372,36047005100,2143
373,36047005201,1722
374,36047005202,2436
375,36047005300,2423
376,36047005400,3406
377,36047005601,2482
378,36047005602,1730
379,36047005800,3333
380,36047005900,1429
381,36047006000,2717
382,36047006200,2818
383,36047006300,1952
384,36047006400,3244
385,36047006500,5412
386,36047006600,3797
387,36047006700,3799
388,36047006800,5290
389,36047006900,3582
390,36047007000,2463
391,36047007100,5002
392,36047007200,2341
393,36047007400,6061
394,36047007500,4774
395,36047007600,4775
396,36047007700,4409
397,36047007800,5493
398,36047008000,4373
399,36047008200,4148
400,36047008400,3860
401,36047008500,6916
402,36047008600,0
403,36047008800,3397
404,36047009000,3224
405,36047009200,5407
406,36047009400,5837
407,36047009600,5951
408,36047009800,8178
409,36047010000,6312
410,36047010100,4402
411,36047010200,5265
412,36047010400,5937
413,36047010600,5747
414,36047010800,4267
415,36047011000,2708
416,36047011200,6527
417,36047011400,4500
418,36047011600,4274
419,36047011700,2674
420,36047011800,2128
421,36047011900,1614
422,36047012000,1255
423,36047012100,1807
424,36047012200,5697
425,36047012600,2767
426,36047012700,3929
427,36047012801,2094
428,36047012901,2577
429,36047012902,2064
430,36047013000,5224
431,36047013100,4244
432,36047013200,2397
433,36047013300,4674
434,36047013400,3860
435,36047013500,3694
436,36047013600,3813
437,36047013700,3278
438,36047013800,3423
439,36047013900,3652
440,36047014000,1843
441,36047014100,3928
442,36047014200,3105
443,36047014300,3610
444,36047014500,4424
445,36047014700,2104
446,36047014800,1256
447,36047014900,5772
448,36047015000,1642
449,36047015100,4273
450,36047015200,2567
451,36047015300,2961
452,36047015400,0
453,36047015500,3674
454,36047015700,4289
455,36047015900,5157
456,36047016000,4475
457,36047016100,3139
458,36047016200,2560
459,36047016300,3223
460,36047016400,654
461,36047016500,5706
462,36047016600,2080
463,36047016700,5278
464,36047016800,1801
465,36047016900,4779
466,36047017000,4115
467,36047017100,3943
468,36047017200,4040
469,36047017400,1908
470,36047017500,0
471,36047017600,2322
472,36047017700,0
473,36047017800,3226
474,36047017900,4131
475,36047018000,3512
476,36047018100,3424
477,36047018200,3600
478,36047018300,2692
479,36047018400,2551
480,36047018501,4530
481,36047018600,2072
482,36047018700,1405
483,36047018800,2879
484,36047019000,5134
485,36047019100,2902
486,36047019200,3398
487,36047019300,5761
488,36047019400,3786
489,36047019500,4188
490,36047019600,5120
491,36047019700,3508
492,36047019800,1978
493,36047019900,2863
494,36047020000,2216
495,36047020100,3886
496,36047020200,2131
497,36047020300,1688
498,36047020400,1947
499,36047020500,2747
500,36047020600,2706
501,36047020700,4536
502,36047020800,3272
503,36047021000,4946
504,36047021100,1362
505,36047021200,5176
506,36047021300,4296
507,36047021400,2437
508,36047021500,5136
509,36047021600,4458
510,36047021700,3904
511,36047021800,4389
512,36047021900,3617
513,36047022000,4313
514,36047022100,4255
515,36047022200,4524
516,36047022400,5981
517,36047022600,2438
518,36047022700,3725
519,36047022800,3367
520,36047022900,3780
521,36047023000,3832
522,36047023100,3506
523,36047023200,5753
524,36047023300,4863
525,36047023400,5162
526,36047023500,4015
527,36047023600,5693
528,36047023800,4142
529,36047024000,4471
530,36047024100,2375
531,36047024200,3052
532,36047024300,4273
533,36047024400,3757
534,36047024500,3855
535,36047024600,3195
536,36047024700,2104
537,36047024800,3056
538,36047024900,3973
539,36047025000,1527
540,36047025100,3522
541,36047025200,5337
542,36047025300,2540
543,36047025400,4256
544,36047025500,5270
545,36047025600,3195
546,36047025700,2177
547,36047025800,4225
548,36047025901,1914
549,36047025902,3737
550,36047026000,3687
551,36047026100,4987
552,36047026200,2422
553,36047026300,2002
554,36047026400,4946
555,36047026500,3558
556,36047026600,3418
557,36047026700,3531
558,36047026800,3690
559,36047026900,2685
560,36047027000,2539
561,36047027100,2502
562,36047027200,3692
563,36047027300,2649
564,36047027400,3090
565,36047027500,4346
566,36047027600,4325
567,36047027700,4975
568,36047027800,3418
569,36047027900,3914
570,36047028000,1690
571,36047028100,4882
572,36047028200,3226
573,36047028300,4150
574,36047028400,3662
575,36047028501,293
576,36047028502,2626
577,36047028600,4692
578,36047028700,2774
579,36047028800,3495
580,36047028900,3408
581,36047029000,4017
582,36047029100,2843
583,36047029200,2540
584,36047029300,3426
585,36047029400,2489
586,36047029500,3803
587,36047029600,5711
588,36047029700,3969
589,36047029800,3871
590,36047029900,2663
591,36047030000,4048
592,36047030100,2752
593,36047030200,4355
594,36047030300,5018
595,36047030400,3742
596,36047030500,5951
597,36047030600,2029
598,36047030700,4304
599,36047030800,1898
600,36047030900,2134
601,36047031100,2805
602,36047031300,4242
603,36047031400,4409
604,36047031500,4798
605,36047031701,3262
606,36047031702,3857
607,36047031900,3782
608,36047032100,5897
609,36047032300,3835
610,36047032500,6446
611,36047032600,6947
612,36047032700,2501
613,36047032800,2621
614,36047032900,5783
615,36047033000,4634
616,36047033100,4378
617,36047033300,4719
618,36047033500,3115
619,36047033600,4008
620,36047033700,3818
621,36047033900,4495
622,36047034000,2166
623,36047034100,2803
624,36047034200,5748
625,36047034300,5097
626,36047034500,2899
627,36047034700,3326
628,36047034800,2185
629,36047034900,5297
630,36047035000,2806
631,36047035100,4437
632,36047035200,1035
633,36047035300,5140
634,36047035400,5373
635,36047035500,5620
636,36047035601,2592
637,36047035602,4835
638,36047035700,2499
639,36047035900,5213
640,36047036001,2899
641,36047036002,3975
642,36047036100,2375
643,36047036200,3345
644,36047036300,4076
645,36047036400,2077
646,36047036501,2677
647,36047036502,1164
648,36047036600,4702
649,36047036700,1426
650,36047036900,4839
651,36047037000,4074
652,36047037100,4705
653,36047037300,4110
654,36047037401,4174
655,36047037402,4668
656,36047037500,3129
657,36047037700,4240
658,36047037900,3537
659,36047038100,5550
660,36047038200,5786
661,36047038300,4655
662,36047038500,3364
663,36047038600,3622
664,36047038700,4058
665,36047038800,4049
666,36047038900,3249
667,36047039000,2318
668,36047039100,3086
669,36047039200,2807
670,36047039300,3444
671,36047039400,2480
672,36047039500,3789
673,36047039600,2090
674,36047039700,3261
675,36047039800,2859
676,36047039900,3384
677,36047040000,3429
678,36047040100,3356
679,36047040200,2683
680,36047040300,3724
681,36047040400,2451
682,36047040500,1539
683,36047040600,3335
684,36047040700,0
685,36047040800,3304
686,36047040900,3738
687,36047041000,1854
688,36047041100,3387
689,36047041200,2835
690,36047041300,4365
691,36047041401,1480
692,36047041402,1611
693,36047041500,4478
694,36047041600,2644
695,36047041700,3158
696,36047041800,2314
697,36047041900,4030
698,36047042000,1894
699,36047042100,4016
700,36047042200,3474
701,36047042300,4986
702,36047042400,3432
703,36047042500,2906
704,36047042600,4408
705,36047042700,5609
706,36047042800,3760
707,36047042900,5743
708,36047043000,3394
709,36047043100,5655
710,36047043200,4790
711,36047043300,4601
712,36047043400,3368
713,36047043500,5156
714,36047043600,4823
715,36047043700,6122
716,36047043800,2632
717,36047043900,4155
718,36047044000,2943
719,36047044100,6156
720,36047044200,2743
721,36047044300,5378
722,36047044400,3409
723,36047044500,4963
724,36047044600,2021
725,36047044700,2480
726,36047044800,1924
727,36047044900,3465
728,36047045000,498
729,36047045200,2638
730,36047045300,2262
731,36047045400,1896
732,36047045600,2562
733,36047045800,1651
734,36047046000,4028
735,36047046201,2685
736,36047046202,2191
737,36047046400,2710
738,36047046800,2326
739,36047047000,2806
740,36047047200,2931
741,36047047400,2929
742,36047047600,3958
743,36047047700,3760
744,36047047800,4320
745,36047048000,3623
746,36047048100,3092
747,36047048200,5688
748,36047048400,6210
749,36047048500,3034
750,36047048600,3355
751,36047048800,3961
752,36047048900,3829
753,36047049000,6156
754,36047049100,6017
755,36047049200,3637
756,36047049300,7398
757,36047049400,5574
758,36047049500,2702
759,36047049600,3933
760,36047049700,2776
761,36047049800,4535
762,36047049900,1728
763,36047050000,3684
764,36047050100,2962
765,36047050202,2405
766,36047050300,2431
767,36047050400,4824
768,36047050500,4289
769,36047050600,5740
770,36047050700,2417
771,36047050801,3948
772,36047050803,2111
773,36047050804,5782
774,36047050900,4104
775,36047051001,4274
776,36047051002,5028
777,36047051100,3798
778,36047051200,6103
779,36047051300,4458
780,36047051400,7261
781,36047051500,1367
782,36047051601,5186
783,36047051602,3819
784,36047051700,1998
785,36047051800,3481
786,36047051900,4299
787,36047052000,4566
788,36047052300,5670
789,36047052500,3338
790,36047052600,4712
791,36047052700,6705
792,36047052800,1843
793,36047052900,3994
794,36047053000,3619
795,36047053100,8924
796,36047053200,2539
797,36047053300,6905
798,36047053400,4227
799,36047053500,4326
800,36047053700,3392
801,36047053800,4265
802,36047053900,2638
803,36047054200,4719
804,36047054300,382
805,36047054400,2918
806,36047054500,7169
807,36047054600,4457
808,36047054700,5071
809,36047054800,2193
810,36047054900,3480
811,36047055000,3744
812,36047055100,6138
813,36047055200,3179
814,36047055300,2899
815,36047055400,4028
816,36047055500,5178
817,36047055600,3591
818,36047055700,2384
819,36047055800,2244
820,36047056000,3681
821,36047056100,3003
822,36047056200,1519
823,36047056300,4519
824,36047056400,2545
825,36047056500,3125
826,36047056600,2747
827,36047056800,1382
828,36047056900,1432
829,36047057000,3321
830,36047057100,3886
831,36047057200,4954
832,36047057300,2375
833,36047057400,2881
834,36047057500,4028
835,36047057600,3070
836,36047057800,3260
837,36047057900,1016
838,36047058000,3999
839,36047058200,3150
840,36047058400,3303
841,36047058600,2658
842,36047058800,3505
843,36047058900,1786
844,36047059000,1893
845,36047059100,3818
846,36047059200,4599
847,36047059300,2036
848,36047059401,7740
849,36047059402,4817
850,36047059600,2451
851,36047059800,3484
852,36047060000,5984
853,36047060600,2482
854,36047060800,3126
855,36047061002,4282
856,36047061003,1838
857,36047061004,6231
858,36047061200,874
859,36047061600,1572
860,36047062000,1891
861,36047062200,3150
862,36047062600,2670
863,36047062800,5130
864,36047063200,1458
865,36047063600,1349
866,36047063800,1649
867,36047064000,2017
868,36047064200,2434
869,36047064400,2814
870,36047064600,2402
871,36047064800,1918
872,36047065000,1322
873,36047065200,1241
874,36047065400,1765
875,36047065600,1827
876,36047065800,1954
877,36047066000,2058
878,36047066200,1729
879,36047066600,0
880,36047067000,2763
881,36047067200,1699
882,36047067400,1938
883,36047067600,2057
884,36047067800,2392
885,36047068000,2155
886,36047068200,3037
887,36047068600,1660
888,36047068800,1863
889,36047069000,1801
890,36047069200,2842
891,36047069601,4032
892,36047069602,6667
893,36047069800,1448
894,36047070000,1798
895,36047070201,6015
896,36047070202,16
897,36047070203,0
898,36047070600,2748
899,36047072000,1969
900,36047072200,2896
901,36047072400,2038
902,36047072600,2110
903,36047072800,4050
904,36047073000,2550
905,36047073200,2858
906,36047073400,2357
907,36047073600,3624
908,36047073800,3583
909,36047074000,4264
910,36047074200,3590
911,36047074400,2500
912,36047074600,2278
913,36047074800,1906
914,36047075000,2888
915,36047075200,1021
916,36047075400,1573
917,36047075600,1971
918,36047075800,1841
919,36047076000,3013
920,36047076200,4875
921,36047076400,4070
922,36047076600,2467
923,36047076800,3308
924,36047077000,3302
925,36047077200,2917
926,36047077400,3333
927,36047077600,3956
928,36047078000,2586
929,36047078200,4685
930,36047078400,2806
931,36047078600,4893
932,36047078800,3237
933,36047079000,5288
934,36047079200,3771
935,36047079400,1964
936,36047079601,4728
937,36047079602,4642
938,36047079801,2886
939,36047079802,5956
940,36047080000,3797
941,36047080200,5031
942,36047080400,3282
943,36047080600,4241
944,36047080800,1256
945,36047081000,2194
946,36047081400,2801
947,36047081600,2852
948,36047081800,4409
949,36047082000,4856
950,36047082200,7608
951,36047082400,4323
952,36047082600,4880
953,36047082800,3627
954,36047083000,6023
955,36047083200,2341
956,36047083400,1654
957,36047083600,2005
958,36047083800,2407
959,36047084000,2267
960,36047084600,1704
961,36047084800,1609
962,36047085000,1600
963,36047085200,8
964,36047085400,1941
965,36047085600,3290
966,36047085800,2378
967,36047086000,3691
968,36047086200,3003
969,36047086400,2203
970,36047086600,3175
971,36047086800,3118
972,36047087000,3187
973,36047087200,2726
974,36047087401,3122
975,36047087600,1693
976,36047087800,2816
977,36047088000,3208
978,36047088200,6660
979,36047088400,4923
980,36047088600,4472
981,36047088800,4274
982,36047089000,6750
983,36047089200,3651
984,36047089400,3751
985,36047089600,3411
986,36047089800,1777
987,36047090000,5358
988,36047090200,3886
989,36047090600,4318
990,36047090800,5679
991,36047091000,6094
992,36047091200,6627
993,36047091600,4790
994,36047091800,3058
995,36047092000,3406
996,36047092200,2880
997,36047092400,3420
998,36047092800,2680
999,36047093000,2581
1000,36047093200,1336
1001,36047093400,2464
1002,36047093600,1882
1003,36047093800,2196
1004,36047094401,3916
1005,36047094402,2907
1006,36047094600,1990
1007,36047095000,3236
1008,36047095400,4852
1009,36047095600,4618
1010,36047095800,3840
1011,36047096000,0
1012,36047096200,1828
1013,36047096400,2212
1014,36047096600,2359
1015,36047096800,1481
1016,36047097000,2186
1017,36047097400,3142
1018,36047098200,4124
1019,36047098400,2035
1020,36047098600,3362
1021,36047098800,3117
1022,36047099000,1552
1023,36047099200,2103
1024,36047099400,2023
1025,36047099600,3819
1026,36047099800,3702
1027,36047100400,2831
1028,36047100600,2561
1029,36047100800,2138
1030,36047101000,2042
1031,36047101200,2144
1032,36047101400,2240
1033,36047101600,1594
1034,36047101800,1718
1035,36047102000,2132
1036,36047102200,2205
1037,36047102400,2110
1038,36047102600,2508
1039,36047102800,1529
1040,36047103400,4029
1041,36047105801,6403
1042,36047105804,6416
1043,36047107000,1141
1044,36047107800,3988
1045,36047109800,2160
1046,36047110400,4948
1047,36047110600,4438
1048,36047111000,3400
1049,36047111600,3739
1050,36047111800,2986
1051,36047112000,3221
1052,36047112200,3755
1053,36047112400,3399
1054,36047112600,3826
1055,36047112800,3829
1056,36047113000,4386
1057,36047113200,1917
1058,36047113400,3107
1059,36047114201,1748
1060,36047114202,2656
1061,36047114400,2587
1062,36047114600,3119
1063,36047115000,2776
1064,36047115200,3213
1065,36047115600,4154
1066,36047115800,2938
1067,36047116000,2139
1068,36047116200,2073
1069,36047116400,3104
1070,36047116600,2865
1071,36047116800,1579
1072,36047117000,1606
1073,36047117201,2536
1074,36047117202,3121
1075,36047117400,4268
1076,36047117601,3037
1077,36047117602,2800
1078,36047117800,1665
1079,36047118000,0
1080,36047118201,3054
1081,36047118202,2765
1082,36047118400,5428
1083,36047118600,2790
1084,36047118800,4519
1085,36047119000,2611
1086,36047119200,3231
1087,36047119400,3626
1088,36047119600,4864
1089,36047119800,3538
1090,36047120000,2230
1091,36047120200,2057
1092,36047120800,8566
1093,36047121000,4258
1094,36047121400,4465
1095,36047122000,5573
1096,36047123700,6522
1097,36047150200,2946
1098,36047152200,3755
1099,36047990100,0
1100,36061000100,0
1101,36061000201,2791
1102,36061000202,7768
1103,36061000500,0
1104,36061000600,12554
1105,36061000700,8794
